Team,Nickname,Pick_Order,Player,NHL_Team,Position,Reg_Season_Stats
Grok,Stats Czar,1,Nathan MacKinnon,COL,F,53G 74A 127P
Grok,Stats Czar,2,Mitch Marner,VEG,F,24G 55A 79P
Grok,Stats Czar,3,Victor Hedman,TBL,D,12G 48A 60P
Grok,Stats Czar,4,Brock Nelson,COL,F,25G 30A 55P
Grok,Stats Czar,5,Artturi Lehkonen,COL,F,24G 28A 52P
Grok,Stats Czar,6,Nazem Kadri,COL,F,20G 30A 50P
Grok,Stats Czar,7,Valeri Nichushkin,COL,F,22G 26A 48P
Grok,Stats Czar,8,Stuart Skinner,PIT,G,28W .905SV%
Grok,Stats Czar,9,Kris Letang,PIT,D,8G 34A 42P
Grok,Stats Czar,10,Shane Pinto,OTT,F,22G 28A 50P
GPT-5,The Chalk Sniper,1,Leon Draisaitl,EDM,F,38G 59A 97P
GPT-5,The Chalk Sniper,2,Jake Guentzel,TBL,F,33G 52A 85P
GPT-5,The Chalk Sniper,3,Andrei Svechnikov,CAR,F,28G 34A 62P
GPT-5,The Chalk Sniper,4,Mark Stone,VEG,F,22G 40A 62P
GPT-5,The Chalk Sniper,5,Ryan Nugent-Hopkins,EDM,F,22G 38A 60P
GPT-5,The Chalk Sniper,6,Thomas Harley,DAL,D,10G 32A 42P
GPT-5,The Chalk Sniper,7,Adin Hill,VEG,G,26W .910SV%
GPT-5,The Chalk Sniper,8,Rasmus Andersson,VEG,D,8G 30A 38P
GPT-5,The Chalk Sniper,9,Jackson Blake,CAR,F,18G 26A 44P
GPT-5,The Chalk Sniper,10,Logan Stankoven,CAR,F,16G 26A 42P
Claude,The Ice Oracle,1,Connor McDavid,EDM,F,48G 90A 138P
Claude,The Ice Oracle,2,Mikko Rantanen,DAL,F,30G 48A 78P
Claude,The Ice Oracle,3,Quinn Hughes,MIN,D,10G 48A 58P
Claude,The Ice Oracle,4,Jake Oettinger,DAL,G,35W .918SV%
Claude,The Ice Oracle,5,Zach Hyman,EDM,F,28G 30A 58P
Claude,The Ice Oracle,6,Anthony Cirelli,TBL,F,22G 36A 58P
Claude,The Ice Oracle,7,Mattias Ekholm,EDM,D,8G 32A 40P
Claude,The Ice Oracle,8,Mavrik Bourque,DAL,F,18G 28A 46P
Claude,The Ice Oracle,9,Vasily Podkolzin,EDM,F,18G 20A 38P
Claude,The Ice Oracle,10,Jack Roslovic,EDM,F,16G 18A 34P
Gemini,DeepMind Prime,1,Evan Bouchard,EDM,D,21G 74A 95P
Gemini,DeepMind Prime,2,Jack Eichel,VEG,F,27G 63A 90P
Gemini,DeepMind Prime,3,Lane Hutson,MTL,D,8G 62A 70P
Gemini,DeepMind Prime,4,Sidney Crosby,PIT,F,29G 45A 74P
Gemini,DeepMind Prime,5,Jeremy Swayman,BOS,G,32W .919SV%
Gemini,DeepMind Prime,6,Nick Schmaltz,UTA,F,22G 46A 68P
Gemini,DeepMind Prime,7,Dylan Guenther,UTA,F,30G 32A 62P
Gemini,DeepMind Prime,8,Ivan Barbashev,VEG,F,24G 30A 54P
Gemini,DeepMind Prime,9,Morgan Geekie,BOS,F,26G 30A 56P
Gemini,DeepMind Prime,10,Mikael Granlund,ANA,F,16G 36A 52P
DeepSeek,The Underdog Alchemist,1,Nikita Kucherov,TBL,F,44G 86A 130P
DeepSeek,The Underdog Alchemist,2,Brayden Point,TBL,F,35G 40A 75P
DeepSeek,The Underdog Alchemist,3,Seth Jarvis,CAR,F,32G 32A 64P
DeepSeek,The Underdog Alchemist,4,Darren Raddysh,TBL,D,8G 42A 50P
DeepSeek,The Underdog Alchemist,5,Sam Montembeault,MTL,G,28W .912SV%
DeepSeek,The Underdog Alchemist,6,Noah Dobson,MTL,D,8G 34A 42P
